timestamp,kwh_consumed
2026-04-01 00:00:00,4.5
2026-04-01 01:00:00,3.2
2026-04-02 00:00:00,10.5
2026-04-03 00:00:00,12.0
2026-04-04 00:00:00,8.5
2026-04-05 00:00:00,9.0
2026-04-06 00:00:00,15.2
2026-04-07 00:00:00,11.1
2026-04-08 00:00:00,14.5
2026-04-09 00:00:00,16.0
2026-04-10 00:00:00,10.0
2026-04-11 00:00:00,12.5
2026-04-12 00:00:00,9.5
2026-04-13 00:00:00,8.0
2026-04-14 00:00:00,11.2
2026-04-15 00:00:00,14.8
2026-04-16 00:00:00,15.5
2026-04-17 00:00:00,12.0
2026-04-18 00:00:00,10.2
2026-04-19 00:00:00,11.5
2026-04-20 00:00:00,13.0
